class_of_vehicle,duration_of_day,weather_type,count_of_vehicles,wi,vi,ti
bike,dawn,rain,42,1.25,0.8,1.0
bus,day,clear,5,1.0,1.2,1.0
bike,dawn,snow,35,1.4,0.8,1.0
bus,dawn,clear,7,1.0,1.2,0.97
bus,night,rain,27,1.25,1.2,0.92
bus,day,clear,42,1.0,1.2,1.0
car,dawn,snow,18,1.4,1.0,1.0
bus,dawn,rain,33,1.25,1.2,1.0
car,night,fog,30,1.15,1.0,0.81
bike,dawn,clear,15,1.0,0.8,0.97
bike,night,clear,38,1.0,0.8,0.96
car,dawn,rain,43,1.25,1.0,1.0
bus,dawn,fog,10,1.15,1.2,1.0
car,night,snow,7,1.4,1.0,0.81
car,day,fog,29,1.15,1.0,0.91
bike,dusk,clear,18,1.0,0.8,0.97
car,dusk,rain,15,1.25,1.0,1.0
bike,night,clear,12,1.0,0.8,0.96
bike,dawn,fog,12,1.15,0.8,1.0
car,dawn,snow,2,1.4,1.0,1.0
bus,night,clear,27,1.0,1.2,0.96
car,night,snow,4,1.4,1.0,0.81
car,dawn,clear,10,1.0,1.0,0.97
car,dawn,clear,50,1.0,1.0,0.97
bike,night,fog,24,1.15,0.8,0.81
car,dawn,clear,41,1.0,1.0,0.97
car,dawn,clear,39,1.0,1.0,0.97
bus,night,rain,44,1.25,1.2,0.92
car,dusk,snow,4,1.4,1.0,1.0
car,day,clear,4,1.0,1.0,1.0
car,day,fog,19,1.15,1.0,0.91
car,night,rain,24,1.25,1.0,0.92
bike,night,snow,49,1.4,0.8,0.81
bike,dusk,rain,29,1.25,0.8,1.0
bike,dusk,fog,11,1.15,0.8,1.0
car,dawn,clear,22,1.0,1.0,0.97
bus,dawn,fog,50,1.15,1.2,1.0
bike,day,clear,8,1.0,0.8,1.0
bike,night,rain,46,1.25,0.8,0.92
car,night,clear,45,1.0,1.0,0.96
bike,dusk,snow,10,1.4,0.8,1.0
bike,dusk,rain,17,1.25,0.8,1.0
bike,dawn,rain,28,1.25,0.8,1.0
bike,dusk,clear,9,1.0,0.8,0.97
car,night,fog,2,1.15,1.0,0.81
car,day,fog,25,1.15,1.0,0.91
car,day,clear,47,1.0,1.0,1.0
bike,day,snow,13,1.4,0.8,0.91
car,night,snow,12,1.4,1.0,0.81
bus,dawn,clear,12,1.0,1.2,0.97
bike,dusk,rain,3,1.25,0.8,1.0
bus,night,clear,47,1.0,1.2,0.96
car,night,rain,41,1.25,1.0,0.92
bike,night,snow,43,1.4,0.8,0.81
bike,dusk,clear,7,1.0,0.8,0.97
bike,dusk,clear,13,1.0,0.8,0.97
bus,day,rain,43,1.25,1.2,0.95
car,day,snow,28,1.4,1.0,0.91
bike,day,clear,39,1.0,0.8,1.0
car,dusk,fog,36,1.15,1.0,1.0
bus,night,rain,20,1.25,1.2,0.92
car,night,fog,4,1.15,1.0,0.81
car,day,clear,6,1.0,1.0,1.0
car,dawn,snow,37,1.4,1.0,1.0
bike,dawn,fog,48,1.15,0.8,1.0
car,night,snow,46,1.4,1.0,0.81
bike,day,snow,9,1.4,0.8,0.91
bus,dawn,clear,7,1.0,1.2,0.97
car,night,snow,14,1.4,1.0,0.81
car,dusk,snow,36,1.4,1.0,1.0
bus,dawn,snow,9,1.4,1.2,1.0
bus,night,rain,38,1.25,1.2,0.92
bus,night,rain,16,1.25,1.2,0.92
bus,night,clear,27,1.0,1.2,0.96
bus,dusk,fog,41,1.15,1.2,1.0
car,night,snow,10,1.4,1.0,0.81
bike,day,fog,9,1.15,0.8,0.91
bike,dawn,rain,19,1.25,0.8,1.0
car,night,fog,37,1.15,1.0,0.81
bus,night,rain,13,1.25,1.2,0.92
bike,dusk,clear,21,1.0,0.8,0.97
bike,night,rain,7,1.25,0.8,0.92
bus,day,rain,33,1.25,1.2,0.95
bike,night,snow,47,1.4,0.8,0.81
bike,day,clear,21,1.0,0.8,1.0
bus,dawn,rain,30,1.25,1.2,1.0
bus,dawn,snow,37,1.4,1.2,1.0
bus,dusk,clear,26,1.0,1.2,0.97
bike,dawn,rain,42,1.25,0.8,1.0
car,day,rain,17,1.25,1.0,0.95
bike,day,rain,43,1.25,0.8,0.95
bus,day,clear,31,1.0,1.2,1.0
bike,day,snow,38,1.4,0.8,0.91
bike,dawn,snow,34,1.4,0.8,1.0
car,dusk,clear,49,1.0,1.0,0.97
car,dawn,rain,42,1.25,1.0,1.0
car,dawn,clear,47,1.0,1.0,0.97
car,night,clear,48,1.0,1.0,0.96
car,day,fog,32,1.15,1.0,0.91
bike,night,rain,2,1.25,0.8,0.92
bus,day,snow,14,1.4,1.2,0.91
bike,dusk,fog,18,1.15,0.8,1.0
bus,dawn,rain,36,1.25,1.2,1.0
bike,day,clear,41,1.0,0.8,1.0
bike,day,rain,6,1.25,0.8,0.95
car,dusk,fog,8,1.15,1.0,1.0
bus,dusk,clear,6,1.0,1.2,0.97
car,night,snow,25,1.4,1.0,0.81
car,dusk,snow,25,1.4,1.0,1.0
bike,night,rain,25,1.25,0.8,0.92
bike,day,clear,34,1.0,0.8,1.0
bus,dawn,fog,11,1.15,1.2,1.0
bike,dawn,fog,25,1.15,0.8,1.0
bike,dawn,fog,40,1.15,0.8,1.0
bus,night,snow,5,1.4,1.2,0.81
bus,day,fog,48,1.15,1.2,0.91
bus,dawn,clear,6,1.0,1.2,0.97
bus,day,rain,2,1.25,1.2,0.95
bus,day,rain,14,1.25,1.2,0.95
car,day,snow,2,1.4,1.0,0.91
car,dusk,rain,39,1.25,1.0,1.0
bus,day,snow,9,1.4,1.2,0.91
bike,night,clear,1,1.0,0.8,0.96
bike,day,fog,42,1.15,0.8,0.91
bike,day,fog,19,1.15,0.8,0.91
bus,dusk,fog,22,1.15,1.2,1.0
bike,day,rain,16,1.25,0.8,0.95
bike,day,snow,45,1.4,0.8,0.91
car,night,clear,40,1.0,1.0,0.96
bus,day,snow,19,1.4,1.2,0.91
car,night,rain,30,1.25,1.0,0.92
bus,day,clear,37,1.0,1.2,1.0
car,dusk,clear,9,1.0,1.0,0.97
car,dawn,rain,46,1.25,1.0,1.0
bike,dawn,rain,5,1.25,0.8,1.0
bike,dawn,fog,40,1.15,0.8,1.0
bus,dusk,rain,46,1.25,1.2,1.0
car,dawn,fog,49,1.15,1.0,1.0
bike,dawn,snow,39,1.4,0.8,1.0
bus,night,fog,11,1.15,1.2,0.81
bus,dusk,rain,18,1.25,1.2,1.0
car,night,fog,32,1.15,1.0,0.81
bus,night,snow,11,1.4,1.2,0.81
bike,dawn,snow,10,1.4,0.8,1.0
car,dusk,clear,15,1.0,1.0,0.97
bike,day,snow,39,1.4,0.8,0.91
bike,night,rain,1,1.25,0.8,0.92
bike,night,fog,22,1.15,0.8,0.81
car,dawn,rain,37,1.25,1.0,1.0
car,dusk,clear,31,1.0,1.0,0.97
bike,day,fog,43,1.15,0.8,0.91
bus,night,rain,41,1.25,1.2,0.92
car,dusk,snow,36,1.4,1.0,1.0
bus,night,snow,12,1.4,1.2,0.81
bus,dawn,snow,18,1.4,1.2,1.0
bike,day,fog,7,1.15,0.8,0.91
car,day,snow,28,1.4,1.0,0.91
car,dusk,clear,34,1.0,1.0,0.97
car,dawn,clear,5,1.0,1.0,0.97
car,dusk,snow,33,1.4,1.0,1.0
bike,dusk,clear,15,1.0,0.8,0.97
car,day,rain,4,1.25,1.0,0.95
car,day,rain,41,1.25,1.0,0.95
car,day,fog,24,1.15,1.0,0.91
car,dawn,snow,9,1.4,1.0,1.0
bus,dusk,clear,36,1.0,1.2,0.97
bus,dusk,fog,3,1.15,1.2,1.0
bus,dusk,rain,46,1.25,1.2,1.0
car,dusk,rain,45,1.25,1.0,1.0
car,dusk,rain,35,1.25,1.0,1.0
bike,day,rain,22,1.25,0.8,0.95
bus,night,rain,26,1.25,1.2,0.92
bike,dusk,rain,6,1.25,0.8,1.0
bus,day,clear,32,1.0,1.2,1.0
bike,dusk,clear,50,1.0,0.8,0.97
bus,night,rain,14,1.25,1.2,0.92
car,day,rain,47,1.25,1.0,0.95
bike,dusk,rain,2,1.25,0.8,1.0
bus,night,snow,18,1.4,1.2,0.81
bike,dusk,snow,13,1.4,0.8,1.0
bike,dawn,snow,7,1.4,0.8,1.0
bike,dusk,rain,25,1.25,0.8,1.0
bus,dusk,snow,14,1.4,1.2,1.0
car,night,rain,10,1.25,1.0,0.92
bus,day,fog,27,1.15,1.2,0.91
car,day,snow,1,1.4,1.0,0.91
bus,dusk,snow,36,1.4,1.2,1.0
bike,day,snow,6,1.4,0.8,0.91
car,dawn,clear,28,1.0,1.0,0.97
car,dusk,snow,21,1.4,1.0,1.0
bike,day,snow,31,1.4,0.8,0.91
car,night,rain,23,1.25,1.0,0.92
bus,dawn,fog,35,1.15,1.2,1.0
bike,dusk,clear,1,1.0,0.8,0.97
bus,night,fog,3,1.15,1.2,0.81
bus,day,rain,27,1.25,1.2,0.95
bus,day,fog,6,1.15,1.2,0.91
car,dawn,snow,28,1.4,1.0,1.0
bus,day,rain,24,1.25,1.2,0.95
bus,night,fog,3,1.15,1.2,0.81
bus,day,rain,3,1.25,1.2,0.95
bus,dawn,fog,38,1.15,1.2,1.0
bike,night,clear,46,1.0,0.8,0.96
car,night,snow,20,1.4,1.0,0.81
car,day,fog,47,1.15,1.0,0.91
bus,dusk,rain,10,1.25,1.2,1.0
bike,dusk,fog,44,1.15,0.8,1.0
bike,day,fog,8,1.15,0.8,0.91
car,dawn,rain,11,1.25,1.0,1.0
car,night,rain,50,1.25,1.0,0.92
car,night,snow,23,1.4,1.0,0.81
car,night,rain,33,1.25,1.0,0.92
car,night,snow,24,1.4,1.0,0.81
car,night,fog,44,1.15,1.0,0.81
car,night,rain,27,1.25,1.0,0.92
bike,night,snow,30,1.4,0.8,0.81
car,night,fog,48,1.15,1.0,0.81
bike,dusk,clear,8,1.0,0.8,0.97
car,night,fog,7,1.15,1.0,0.81
bike,night,fog,41,1.15,0.8,0.81
bike,dawn,fog,20,1.15,0.8,1.0
bike,day,rain,44,1.25,0.8,0.95
bus,dawn,fog,14,1.15,1.2,1.0
car,day,snow,48,1.4,1.0,0.91
car,night,fog,26,1.15,1.0,0.81
bus,night,clear,12,1.0,1.2,0.96
bus,dusk,clear,26,1.0,1.2,0.97
bike,dusk,clear,18,1.0,0.8,0.97
bike,dusk,clear,50,1.0,0.8,0.97
car,dusk,snow,23,1.4,1.0,1.0
bike,dusk,rain,33,1.25,0.8,1.0
car,day,clear,19,1.0,1.0,1.0
bike,dawn,snow,13,1.4,0.8,1.0
bike,dawn,clear,39,1.0,0.8,0.97
bike,dawn,fog,46,1.15,0.8,1.0
bike,night,fog,14,1.15,0.8,0.81
car,night,fog,1,1.15,1.0,0.81
bike,day,snow,47,1.4,0.8,0.91
bike,dawn,rain,50,1.25,0.8,1.0
bus,dusk,rain,29,1.25,1.2,1.0
car,night,fog,45,1.15,1.0,0.81
car,day,fog,4,1.15,1.0,0.91
bus,day,clear,43,1.0,1.2,1.0
bus,dusk,clear,17,1.0,1.2,0.97
car,dusk,fog,29,1.15,1.0,1.0
car,night,fog,39,1.15,1.0,0.81
car,dawn,fog,35,1.15,1.0,1.0
bike,night,snow,48,1.4,0.8,0.81
bus,night,clear,3,1.0,1.2,0.96
car,day,snow,46,1.4,1.0,0.91
bike,day,rain,2,1.25,0.8,0.95
car,dusk,snow,44,1.4,1.0,1.0
bike,dawn,fog,8,1.15,0.8,1.0
bus,day,clear,28,1.0,1.2,1.0
bus,dusk,clear,35,1.0,1.2,0.97
bike,dawn,fog,8,1.15,0.8,1.0
bike,day,fog,35,1.15,0.8,0.91
bike,dusk,fog,21,1.15,0.8,1.0
bus,dusk,rain,12,1.25,1.2,1.0
bike,dawn,fog,29,1.15,0.8,1.0
bus,day,clear,15,1.0,1.2,1.0
car,night,fog,32,1.15,1.0,0.81
car,night,snow,50,1.4,1.0,0.81
car,dusk,fog,21,1.15,1.0,1.0
bike,night,fog,31,1.15,0.8,0.81
car,day,snow,19,1.4,1.0,0.91
bus,night,fog,31,1.15,1.2,0.81
bus,dawn,snow,32,1.4,1.2,1.0
bus,day,snow,7,1.4,1.2,0.91
car,dusk,fog,23,1.15,1.0,1.0
bike,night,snow,35,1.4,0.8,0.81
bike,dawn,clear,24,1.0,0.8,0.97
bike,night,snow,8,1.4,0.8,0.81
car,day,clear,6,1.0,1.0,1.0
bike,day,fog,43,1.15,0.8,0.91
bus,dawn,rain,35,1.25,1.2,1.0
car,dawn,clear,40,1.0,1.0,0.97
car,day,fog,12,1.15,1.0,0.91
bike,night,rain,19,1.25,0.8,0.92
bike,day,rain,47,1.25,0.8,0.95
car,dusk,snow,39,1.4,1.0,1.0
bus,day,rain,39,1.25,1.2,0.95
bike,night,clear,31,1.0,0.8,0.96
bus,day,fog,23,1.15,1.2,0.91
bus,night,rain,6,1.25,1.2,0.92
car,dawn,fog,44,1.15,1.0,1.0
car,day,rain,7,1.25,1.0,0.95
bus,dawn,clear,24,1.0,1.2,0.97
car,dusk,rain,31,1.25,1.0,1.0
bus,dusk,fog,6,1.15,1.2,1.0
bike,night,fog,24,1.15,0.8,0.81
bus,day,fog,50,1.15,1.2,0.91
car,dusk,snow,2,1.4,1.0,1.0
bike,day,snow,28,1.4,0.8,0.91
car,night,fog,37,1.15,1.0,0.81
car,dusk,rain,26,1.25,1.0,1.0
car,dusk,fog,32,1.15,1.0,1.0
bike,day,fog,34,1.15,0.8,0.91
bus,dusk,fog,18,1.15,1.2,1.0
bus,dusk,snow,50,1.4,1.2,1.0
car,dawn,fog,23,1.15,1.0,1.0
bus,dawn,fog,10,1.15,1.2,1.0
bike,night,fog,49,1.15,0.8,0.81
bus,day,snow,5,1.4,1.2,0.91
bike,dusk,clear,43,1.0,0.8,0.97
bus,dawn,fog,12,1.15,1.2,1.0
bike,dusk,rain,1,1.25,0.8,1.0
car,dawn,rain,18,1.25,1.0,1.0
bike,night,clear,42,1.0,0.8,0.96
bike,dawn,rain,15,1.25,0.8,1.0
car,night,snow,29,1.4,1.0,0.81
bus,dawn,fog,35,1.15,1.2,1.0
car,dawn,snow,17,1.4,1.0,1.0
bus,dawn,clear,14,1.0,1.2,0.97
bus,day,fog,45,1.15,1.2,0.91
car,dusk,clear,32,1.0,1.0,0.97
bike,day,rain,36,1.25,0.8,0.95
bike,night,clear,18,1.0,0.8,0.96
bike,dawn,rain,46,1.25,0.8,1.0
car,dusk,rain,37,1.25,1.0,1.0
car,dusk,clear,29,1.0,1.0,0.97
car,night,snow,44,1.4,1.0,0.81
bus,dusk,clear,26,1.0,1.2,0.97
car,dawn,fog,34,1.15,1.0,1.0
car,night,rain,12,1.25,1.0,0.92
car,night,snow,27,1.4,1.0,0.81
bus,day,clear,5,1.0,1.2,1.0
bus,dawn,snow,47,1.4,1.2,1.0
bike,day,snow,13,1.4,0.8,0.91
bus,dusk,rain,27,1.25,1.2,1.0
bus,night,fog,12,1.15,1.2,0.81
bike,night,fog,44,1.15,0.8,0.81
bus,dusk,clear,30,1.0,1.2,0.97
bus,night,clear,37,1.0,1.2,0.96
car,dusk,snow,11,1.4,1.0,1.0
car,night,fog,30,1.15,1.0,0.81
bike,dawn,fog,8,1.15,0.8,1.0
bike,night,rain,34,1.25,0.8,0.92
bus,dawn,rain,23,1.25,1.2,1.0
bus,day,clear,14,1.0,1.2,1.0
bus,night,clear,1,1.0,1.2,0.96
bus,dawn,fog,28,1.15,1.2,1.0
bus,dusk,rain,34,1.25,1.2,1.0
bike,night,clear,29,1.0,0.8,0.96
car,dawn,clear,10,1.0,1.0,0.97
car,day,rain,50,1.25,1.0,0.95
bike,dawn,snow,45,1.4,0.8,1.0
bus,dusk,clear,44,1.0,1.2,0.97
bus,dawn,snow,32,1.4,1.2,1.0
bike,day,fog,4,1.15,0.8,0.91
car,day,rain,46,1.25,1.0,0.95
bus,dusk,snow,33,1.4,1.2,1.0
bike,night,snow,9,1.4,0.8,0.81
bike,dawn,snow,40,1.4,0.8,1.0
car,dusk,snow,17,1.4,1.0,1.0
bike,dawn,snow,35,1.4,0.8,1.0
car,dawn,clear,19,1.0,1.0,0.97
bike,dusk,snow,32,1.4,0.8,1.0
car,dawn,fog,38,1.15,1.0,1.0
car,dawn,snow,43,1.4,1.0,1.0
bike,dawn,snow,30,1.4,0.8,1.0
car,dusk,clear,17,1.0,1.0,0.97
bus,night,rain,40,1.25,1.2,0.92
car,dawn,rain,2,1.25,1.0,1.0
bike,dusk,rain,24,1.25,0.8,1.0
car,dusk,rain,32,1.25,1.0,1.0
bus,dawn,clear,8,1.0,1.2,0.97
bus,day,rain,10,1.25,1.2,0.95
car,dawn,fog,7,1.15,1.0,1.0
car,night,rain,16,1.25,1.0,0.92
bike,night,rain,47,1.25,0.8,0.92
car,dusk,rain,22,1.25,1.0,1.0
bus,dusk,snow,36,1.4,1.2,1.0
bus,dusk,fog,43,1.15,1.2,1.0
bus,dusk,rain,40,1.25,1.2,1.0
bus,night,snow,1,1.4,1.2,0.81
bus,night,rain,36,1.25,1.2,0.92
bike,night,rain,27,1.25,0.8,0.92
bike,dawn,snow,4,1.4,0.8,1.0
car,night,fog,33,1.15,1.0,0.81
bike,night,snow,15,1.4,0.8,0.81
car,day,fog,14,1.15,1.0,0.91
bus,dusk,rain,35,1.25,1.2,1.0
bike,night,fog,24,1.15,0.8,0.81
car,dusk,snow,42,1.4,1.0,1.0
car,dusk,snow,45,1.4,1.0,1.0
bike,night,rain,26,1.25,0.8,0.92
car,dawn,fog,41,1.15,1.0,1.0
bus,dawn,snow,37,1.4,1.2,1.0
bus,day,rain,1,1.25,1.2,0.95
